pair,frame,joint_angle_rms_rad,robot_rf_point_rms_m
sparse-neutral__sparse-a,324,0.05311556959494503,0.007284489585164808
sparse-neutral__sparse-a,325,0.05347799250017103,0.0072675328261687395
sparse-neutral__sparse-a,326,0.05310102342813619,0.007988324419839106
sparse-neutral__sparse-a,327,0.05325415535938427,0.008112570860726262
sparse-neutral__sparse-a,328,0.05338070230807835,0.00832541615882701
sparse-neutral__sparse-a,329,0.05335877218341435,0.008452040559529056
sparse-neutral__sparse-a,330,0.053201908553633465,0.00840295812187374
sparse-neutral__sparse-a,331,0.05265643912583274,0.007881731583544412
sparse-neutral__sparse-a,332,0.05215235458693785,0.007894986072236683
sparse-neutral__sparse-a,333,0.05173713720388029,0.008326165234640418
sparse-neutral__sparse-a,334,0.051715036654852824,0.009493203797444923
sparse-neutral__sparse-a,335,0.05173605910540795,0.009702320571990398
sparse-neutral__sparse-a,336,0.05168978049076753,0.009898782811433037
sparse-neutral__sparse-a,337,0.05159072997419978,0.010017583611114421
sparse-neutral__sparse-a,338,0.051449678046483906,0.009965062270140468
sparse-neutral__sparse-a,339,0.05113068346313675,0.007766044714623613
sparse-neutral__sparse-a,340,0.05113944174116199,0.007018357273158672
sparse-neutral__sparse-a,341,0.0511949195049148,0.006305240625674318
sparse-neutral__sparse-a,342,0.05124660936801963,0.005696678802732176
sparse-neutral__sparse-a,343,0.051304081061992766,0.005248389622319159
sparse-neutral__sparse-a,344,0.05135841715671609,0.005025168794756705
sparse-neutral__sparse-a,345,0.051371295665558106,0.004942566315959401
sparse-neutral__sparse-a,346,0.05137917807314357,0.004813638639462177
sparse-neutral__sparse-a,347,0.05136510949340022,0.00487009570604221
sparse-neutral__sparse-a,348,0.0514019921066522,0.0049679157753552555
sparse-neutral__sparse-a,349,0.05146799820519977,0.005142334060306451
sparse-neutral__sparse-a,350,0.051541009841408705,0.005383080351348054
sparse-neutral__sparse-a,351,0.05160947963604632,0.0056761445451220735
sparse-neutral__sparse-a,352,0.051669161500066216,0.005958804439349959
sparse-neutral__sparse-a,353,0.051721159465270804,0.006167220176857145
sparse-neutral__sparse-a,354,0.05176376507271341,0.006270195645914068
sparse-neutral__sparse-a,355,0.05179036313470265,0.006244331254514511
sparse-neutral__sparse-a,356,0.051792306936557064,0.006032688567818676
sparse-neutral__sparse-a,357,0.05169368957020637,0.005854703666177286
sparse-neutral__sparse-a,358,0.051532852592003624,0.005931217937545181
sparse-neutral__sparse-a,359,0.05136499334382471,0.006080123655494519
sparse-neutral__sparse-a,360,0.05125567264389945,0.0061489705287943635
sparse-neutral__sparse-a,361,0.05118936778632728,0.006117663495106407
sparse-neutral__sparse-a,362,0.0511400330010561,0.006027513754511617
sparse-neutral__sparse-a,363,0.05109826322924754,0.005906840671494267
sparse-neutral__sparse-a,364,0.05106298431796148,0.00578736911832367
sparse-neutral__sparse-a,365,0.051029877874499564,0.005675982793100279
sparse-neutral__sparse-a,366,0.05100295311771935,0.005541832632826121
sparse-neutral__sparse-a,367,0.05098601982920931,0.005301621978841578
sparse-neutral__sparse-a,368,0.05098186888486956,0.005077133149281048
sparse-neutral__sparse-a,369,0.050986700961995805,0.004935386052232435
sparse-neutral__sparse-a,370,0.051002410581259816,0.004773668473543238
sparse-neutral__sparse-a,371,0.051028738160116896,0.004647845791554018
sparse-neutral__sparse-a,372,0.051066738987337455,0.004556432917179972
sparse-neutral__sparse-a,373,0.05111425314868821,0.004496271405476116
sparse-neutral__sparse-a,374,0.05116757876930266,0.004438754854068503
sparse-neutral__sparse-a,375,0.05121961768673768,0.004409442441204685
sparse-neutral__sparse-a,376,0.05126538334512656,0.004407958330037019
sparse-neutral__sparse-a,377,0.05129824025075392,0.004434489039960464
sparse-neutral__sparse-a,378,0.05132321058372689,0.004464851482273924
sparse-neutral__sparse-a,379,0.05133994094710791,0.004497691067707388
sparse-neutral__sparse-a,380,0.05135058121126132,0.004529897853788988
sparse-neutral__sparse-a,381,0.05135578908262777,0.004558130677566688
sparse-neutral__sparse-a,382,0.051355172375010485,0.004579720532629952
sparse-neutral__sparse-a,383,0.051352146943635185,0.0045915763837795585
sparse-neutral__sparse-a,384,0.05134759773968336,0.004591752289910656
sparse-neutral__sparse-a,385,0.05133875236588295,0.004584143047331099
sparse-neutral__sparse-a,386,0.05132551545956245,0.004569292649004226
sparse-neutral__sparse-a,387,0.051309277976405734,0.004553524702341607
sparse-neutral__sparse-a,388,0.051287155241074564,0.004546852105311541
sparse-neutral__sparse-a,389,0.05125876373108474,0.004557949730815988
sparse-neutral__sparse-a,390,0.05123081330921241,0.004585826008192283
sparse-neutral__sparse-a,391,0.05120483913831913,0.004625500587912321
sparse-neutral__sparse-a,392,0.05118417977636047,0.004670401871657566
sparse-neutral__sparse-a,393,0.05116637815484231,0.004718128085722153
sparse-neutral__sparse-a,394,0.05115448841407576,0.004764730892737927
sparse-neutral__sparse-a,395,0.051149233274018976,0.004806643768525476
sparse-neutral__sparse-a,396,0.05114720053994839,0.0049430355241543685
sparse-neutral__sparse-a,397,0.05115320156152236,0.004875181711878855
sparse-neutral__sparse-a,398,0.05115723726158891,0.0050787102333818435
sparse-neutral__sparse-a,399,0.051169913668323096,0.004739785719654874
sparse-neutral__sparse-a,400,0.051173494715060226,0.004793472828500722
sparse-neutral__sparse-a,401,0.051178213008890416,0.004830091174303695
sparse-neutral__sparse-a,402,0.05118161918730562,0.004850828252837154
sparse-neutral__sparse-a,403,0.051184327066490926,0.004859125787090202
sparse-neutral__sparse-a,404,0.05118360570599823,0.004853183185385318
sparse-neutral__sparse-a,405,0.05119348168698749,0.004629954961464454
sparse-neutral__sparse-a,406,0.05119394409001288,0.004428280893007411
